file,packet_len,inter_arrival_time
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,78,0.000399
sample_encrypted_traffic.pcapng,75,0.001338
sample_encrypted_traffic.pcapng,1292,0.000603
sample_encrypted_traffic.pcapng,1292,0.000131
sample_encrypted_traffic.pcapng,1292,0.000146
sample_encrypted_traffic.pcapng,1292,0.000152
sample_encrypted_traffic.pcapng,1292,0.000152
sample_encrypted_traffic.pcapng,1292,0.000168
sample_encrypted_traffic.pcapng,1292,0.000133
sample_encrypted_traffic.pcapng,1292,0.000169
sample_encrypted_traffic.pcapng,74,0.000167
sample_encrypted_traffic.pcapng,1292,0.000054
sample_encrypted_traffic.pcapng,1292,0.000202
sample_encrypted_traffic.pcapng,1292,0.000131
sample_encrypted_traffic.pcapng,1292,0.000201
sample_encrypted_traffic.pcapng,1292,0.000352
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000131
sample_encrypted_traffic.pcapng,74,0.000021
sample_encrypted_traffic.pcapng,1292,0.000123
sample_encrypted_traffic.pcapng,1292,0.000157
sample_encrypted_traffic.pcapng,1292,0.000220
sample_encrypted_traffic.pcapng,1292,0.000105
sample_encrypted_traffic.pcapng,1292,0.000134
sample_encrypted_traffic.pcapng,1292,0.000190
sample_encrypted_traffic.pcapng,1292,0.000205
sample_encrypted_traffic.pcapng,74,0.000011
sample_encrypted_traffic.pcapng,1292,0.000735
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,1292,0.000157
sample_encrypted_traffic.pcapng,1292,0.000176
sample_encrypted_traffic.pcapng,74,0.000018
sample_encrypted_traffic.pcapng,1292,0.000647
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000104
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000076
sample_encrypted_traffic.pcapng,1292,0.000274
sample_encrypted_traffic.pcapng,1292,0.000166
sample_encrypted_traffic.pcapng,74,0.000009
sample_encrypted_traffic.pcapng,1292,0.000701
sample_encrypted_traffic.pcapng,1292,0.000141
sample_encrypted_traffic.pcapng,1292,0.000127
sample_encrypted_traffic.pcapng,74,0.000137
sample_encrypted_traffic.pcapng,1292,0.000031
sample_encrypted_traffic.pcapng,1292,0.000124
sample_encrypted_traffic.pcapng,1292,0.000156
sample_encrypted_traffic.pcapng,1292,0.000159
sample_encrypted_traffic.pcapng,1292,0.000138
sample_encrypted_traffic.pcapng,1292,0.000157
sample_encrypted_traffic.pcapng,1292,0.000127
sample_encrypted_traffic.pcapng,1292,0.000288
sample_encrypted_traffic.pcapng,74,0.000112
sample_encrypted_traffic.pcapng,1292,0.000216
sample_encrypted_traffic.pcapng,1292,0.000230
sample_encrypted_traffic.pcapng,1292,0.000123
sample_encrypted_traffic.pcapng,1292,0.000226
sample_encrypted_traffic.pcapng,1292,0.000104
sample_encrypted_traffic.pcapng,1292,0.000118
sample_encrypted_traffic.pcapng,1292,0.000165
sample_encrypted_traffic.pcapng,1292,0.000137
sample_encrypted_traffic.pcapng,74,0.000053
sample_encrypted_traffic.pcapng,1292,0.000080
sample_encrypted_traffic.pcapng,1292,0.000174
sample_encrypted_traffic.pcapng,1292,0.000176
sample_encrypted_traffic.pcapng,1292,0.000258
sample_encrypted_traffic.pcapng,1292,0.000173
sample_encrypted_traffic.pcapng,1292,0.000134
sample_encrypted_traffic.pcapng,74,0.000148
sample_encrypted_traffic.pcapng,1292,0.000895
sample_encrypted_traffic.pcapng,1292,0.000111
sample_encrypted_traffic.pcapng,1292,0.000238
sample_encrypted_traffic.pcapng,1292,0.000121
sample_encrypted_traffic.pcapng,1292,0.000061
sample_encrypted_traffic.pcapng,1292,0.000371
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000163
sample_encrypted_traffic.pcapng,75,0.000074
sample_encrypted_traffic.pcapng,1292,0.000015
sample_encrypted_traffic.pcapng,1292,0.000164
sample_encrypted_traffic.pcapng,1292,0.000285
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000158
sample_encrypted_traffic.pcapng,1292,0.000633
sample_encrypted_traffic.pcapng,1292,0.000077
sample_encrypted_traffic.pcapng,75,0.000068
sample_encrypted_traffic.pcapng,1292,0.000196
sample_encrypted_traffic.pcapng,1292,0.000050
sample_encrypted_traffic.pcapng,1292,0.000131
sample_encrypted_traffic.pcapng,1292,0.000153
sample_encrypted_traffic.pcapng,1292,0.000149
sample_encrypted_traffic.pcapng,1292,0.000135
sample_encrypted_traffic.pcapng,1292,0.000155
sample_encrypted_traffic.pcapng,75,0.000131
sample_encrypted_traffic.pcapng,1292,0.000011
sample_encrypted_traffic.pcapng,1292,0.000291
sample_encrypted_traffic.pcapng,1292,0.000149
sample_encrypted_traffic.pcapng,1292,0.000160
sample_encrypted_traffic.pcapng,1292,0.000693
sample_encrypted_traffic.pcapng,75,0.000150
sample_encrypted_traffic.pcapng,1292,0.000176
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000088
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,1292,0.000153
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,1292,0.000145
sample_encrypted_traffic.pcapng,1292,0.000155
sample_encrypted_traffic.pcapng,1292,0.000138
sample_encrypted_traffic.pcapng,75,0.000205
sample_encrypted_traffic.pcapng,1292,0.000086
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000725
sample_encrypted_traffic.pcapng,1292,0.000130
sample_encrypted_traffic.pcapng,75,0.000120
sample_encrypted_traffic.pcapng,1292,0.000047
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000143
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000173
sample_encrypted_traffic.pcapng,1292,0.000148
sample_encrypted_traffic.pcapng,75,0.000128
sample_encrypted_traffic.pcapng,1292,0.003601
sample_encrypted_traffic.pcapng,1292,0.000042
sample_encrypted_traffic.pcapng,1292,0.000417
sample_encrypted_traffic.pcapng,1292,0.000178
sample_encrypted_traffic.pcapng,1292,0.000103
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,75,0.000121
sample_encrypted_traffic.pcapng,1292,0.000050
sample_encrypted_traffic.pcapng,1292,0.000132
sample_encrypted_traffic.pcapng,1292,0.000165
sample_encrypted_traffic.pcapng,1292,0.000160
sample_encrypted_traffic.pcapng,1292,0.000112
sample_encrypted_traffic.pcapng,1292,0.000315
sample_encrypted_traffic.pcapng,1292,0.000145
sample_encrypted_traffic.pcapng,75,0.000141
sample_encrypted_traffic.pcapng,1292,0.000020
sample_encrypted_traffic.pcapng,1292,0.002433
sample_encrypted_traffic.pcapng,1292,0.000190
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,80,0.000050
sample_encrypted_traffic.pcapng,1292,0.000279
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000093
sample_encrypted_traffic.pcapng,1292,0.000131
sample_encrypted_traffic.pcapng,1292,0.000149
sample_encrypted_traffic.pcapng,1292,0.000182
sample_encrypted_traffic.pcapng,1292,0.000142
sample_encrypted_traffic.pcapng,75,0.000146
sample_encrypted_traffic.pcapng,1292,0.000246
sample_encrypted_traffic.pcapng,1292,0.000138
sample_encrypted_traffic.pcapng,1292,0.000170
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000172
sample_encrypted_traffic.pcapng,1292,0.000116
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,75,0.000262
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000173
sample_encrypted_traffic.pcapng,1292,0.000126
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000158
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000168
sample_encrypted_traffic.pcapng,1292,0.000122
sample_encrypted_traffic.pcapng,75,0.000186
sample_encrypted_traffic.pcapng,1292,0.000006
sample_encrypted_traffic.pcapng,1292,0.000173
sample_encrypted_traffic.pcapng,1292,0.000308
sample_encrypted_traffic.pcapng,1292,0.000117
sample_encrypted_traffic.pcapng,1292,0.000162
sample_encrypted_traffic.pcapng,1292,0.000433
sample_encrypted_traffic.pcapng,1292,0.000144
sample_encrypted_traffic.pcapng,75,0.000012
sample_encrypted_traffic.pcapng,1292,0.000091
sample_encrypted_traffic.pcapng,1292,0.000165
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000158
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,75,0.000112
sample_encrypted_traffic.pcapng,1292,0.000041
sample_encrypted_traffic.pcapng,1292,0.000314
sample_encrypted_traffic.pcapng,1292,0.000145
sample_encrypted_traffic.pcapng,1292,0.000152
sample_encrypted_traffic.pcapng,1292,0.000444
sample_encrypted_traffic.pcapng,1292,0.000095
sample_encrypted_traffic.pcapng,75,0.000029
sample_encrypted_traffic.pcapng,1292,0.000107
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000146
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000160
sample_encrypted_traffic.pcapng,1292,0.000132
sample_encrypted_traffic.pcapng,1292,0.000162
sample_encrypted_traffic.pcapng,75,0.000130
sample_encrypted_traffic.pcapng,1292,0.000007
sample_encrypted_traffic.pcapng,1292,0.002857
sample_encrypted_traffic.pcapng,75,0.000162
sample_encrypted_traffic.pcapng,1292,0.000253
sample_encrypted_traffic.pcapng,1292,0.000148
sample_encrypted_traffic.pcapng,1292,0.000135
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000163
sample_encrypted_traffic.pcapng,1292,0.000132
sample_encrypted_traffic.pcapng,1292,0.000146
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,75,0.000106
sample_encrypted_traffic.pcapng,1292,0.000071
sample_encrypted_traffic.pcapng,1292,0.000129
sample_encrypted_traffic.pcapng,1292,0.003315
sample_encrypted_traffic.pcapng,1292,0.000146
sample_encrypted_traffic.pcapng,75,0.000052
sample_encrypted_traffic.pcapng,1292,0.004375
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,77,0.000231
sample_encrypted_traffic.pcapng,1292,0.000020
sample_encrypted_traffic.pcapng,77,0.000073
sample_encrypted_traffic.pcapng,1292,0.000005
sample_encrypted_traffic.pcapng,77,0.000063
sample_encrypted_traffic.pcapng,77,0.000077
sample_encrypted_traffic.pcapng,1292,0.000043
sample_encrypted_traffic.pcapng,1292,0.000080
sample_encrypted_traffic.pcapng,1292,0.000254
sample_encrypted_traffic.pcapng,1292,0.000064
sample_encrypted_traffic.pcapng,1292,0.000193
sample_encrypted_traffic.pcapng,1292,0.000161
sample_encrypted_traffic.pcapng,1292,0.002553
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000188
sample_encrypted_traffic.pcapng,77,0.000004
sample_encrypted_traffic.pcapng,1292,0.000105
sample_encrypted_traffic.pcapng,1292,0.000280
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000157
sample_encrypted_traffic.pcapng,68,0.000000
sample_encrypted_traffic.pcapng,1292,0.000168
sample_encrypted_traffic.pcapng,1292,0.000159
sample_encrypted_traffic.pcapng,1292,0.000285
sample_encrypted_traffic.pcapng,76,0.000044
sample_encrypted_traffic.pcapng,1292,0.000106
sample_encrypted_traffic.pcapng,1292,0.000133
sample_encrypted_traffic.pcapng,1292,0.000382
sample_encrypted_traffic.pcapng,1292,0.00014
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000132
sample_encrypted_traffic.pcapng,76,0.000063
sample_encrypted_traffic.pcapng,1292,0.000091
sample_encrypted_traffic.pcapng,1292,0.000133
sample_encrypted_traffic.pcapng,1292,0.000148
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,1292,0.000154
sample_encrypted_traffic.pcapng,1292,0.000148
sample_encrypted_traffic.pcapng,1292,0.000872
sample_encrypted_traffic.pcapng,1292,0.000088
sample_encrypted_traffic.pcapng,76,0.000119
sample_encrypted_traffic.pcapng,1292,0.000051
sample_encrypted_traffic.pcapng,1292,0.000143
sample_encrypted_traffic.pcapng,1292,0.000140
sample_encrypted_traffic.pcapng,1292,0.000149
sample_encrypted_traffic.pcapng,1292,0.000132
sample_encrypted_traffic.pcapng,1292,0.000202
sample_encrypted_traffic.pcapng,1292,0.000145
